R	53.6118	-6.18226	D826	09 Apr 2026	D826\n16:40 - Bray to Drogheda (4 mins late)\nArrived Balbriggan next stop Gormanston	Northbound
R	53.6118	-6.18226	P712	09 Apr 2026	P712\n17:57 - Drogheda to Dublin Connolly (0 mins late)\nDeparted Balbriggan next stop Skerries	Southbound
R	53.6794	-6.24253	P620	09 Apr 2026	P620\n18:03 - Drogheda to Grand Canal Dock (2 mins late)\nArrived Laytown next stop Gormanston	To Grand Canal Dock
R	53.712	-6.33538	D825	09 Apr 2026	D825\n16:40 - Dun Laoghaire to Dundalk (0 mins late)\nArrived Drogheda next stop Dundalk	To Dundalk
R	53.8591	-7.9164	A910	09 Apr 2026	A910\n16:02 - Dublin Connolly to Sligo (6 mins late)\nArrived Dromod next stop Carrick on Shannon	Northbound
R	53.8591	-7.9164	A913	09 Apr 2026	A913\n17:05 - Sligo to Dublin Connolly (0 mins late)\nArrived Dromod next stop Longford	Southbound
R	54.0007	-6.41291	A120	09 Apr 2026	A120\n15:50 - Dublin Connolly to Belfast (5 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0007	-6.41291	A122	09 Apr 2026	A122\n16:50 - Dublin Connolly to Belfast (5 mins late)\nDeparted Dundalk next stop Newry	Northbound
R	54.0007	-6.41291	A123	09 Apr 2026	A123\n17:00 - Belfast to Dublin Connolly (-7 mins late)\nArrived Dundalk next stop Drogheda	Southbound
R	54.0887	-8.52088	A908	09 Apr 2026	A908\n15:05 - Dublin Connolly to Sligo (1 mins late)\nDeparted Ballymote next stop Collooney	Northbound
T	52.5009	-8.20003	A457	09 Apr 2026	A457\n16:25 - Waterford to Limerick Junction(-2 mins late)\nTERMINATED Limerick Junction at 18:05	To Limerick Junction
T	53.3531	-6.24591	P816	09 Apr 2026	P816\n17:28 - Hazelhatch to Dublin Connolly(6 mins late)\nTERMINATED Dublin Connolly at 18:05	To Dublin Connolly
T	53.3891	-6.07401	E936	09 Apr 2026	E936\n16:55 - Bray to Howth(-1 mins late)\nTERMINATED Howth at 18:08	Northbound
T	53.4349	-6.46898	D321	09 Apr 2026	D321\n17:27 - Docklands to M3 Parkway(4 mins late)\nTERMINATED M3 Parkway at 18:08	Northbound
